product_id,harvest_date,landing_date,bag_size,bags,cost_of_green_coffee_gbp_kg,cost_farm_to_port_gbp_kg,freight_cost_gbp_kg,cost_uk_port_to_warehouse_gbp_kg,initial_payment_pct,initial_payment_date,remaining_payment_pct,remaining_payment_date,
77,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
17,2025-04-30,2025-07-09,24,20.00,10,0.53,0.8,0.42,,,,,
60,2025-08-31,2025-11-13,24,20.00,10,0.53,0.8,0.42,,,,,
139,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
7,2024-06-30,2024-10-25,24,9.00,10,0.53,0.8,0.42,,,,,
140,2025-12-31,2026-03-31,24,4.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
8,2024-06-30,2024-10-25,24,25.00,10,0.53,0.8,0.42,,,,,
76,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
121,2025-12-31,2026-03-31,24,14.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
75,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
78,2025-08-31,2025-11-13,24,15.00,10,0.53,0.8,0.42,,,,,
94,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
95,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
96,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
97,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
98,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
99,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
114,2025-12-31,2026-03-31,24,32.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
9,2025-02-28,2025-07-09,35,28.00,10,0.53,0.8,0.42,,,,,
56,2025-08-31,2025-11-13,35,42.00,10,0.53,0.8,0.42,,,,,
10,2025-02-28,2025-07-09,35,15.00,10,0.53,0.8,0.42,,,,,
58,2025-08-31,2025-11-13,35,15.00,10,0.53,0.8,0.42,,,,,
115,2025-12-31,2026-03-31,24,15.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
11,2025-02-28,2025-07-09,35,10.00,10,0.53,0.8,0.42,,,,,
59,2025-08-31,2025-11-13,35,20.00,10,0.53,0.8,0.42,,,,,
107,2024-06-30,2024-10-25,35,12.00,10,0.53,0.8,0.42,,,,,
116,2025-12-31,2026-03-31,24,0.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
13,2025-02-28,2025-07-09,35,10.00,10,0.53,0.8,0.42,,,,,
14,2025-02-28,2025-07-09,24,46.00,10,0.53,0.8,0.42,,,,,
52,2025-02-28,2025-07-09,24,19.00,10,0.53,0.8,0.42,,,,,
57,2025-08-31,2025-11-13,24,42.00,10,0.53,0.8,0.42,,,,,
113,2025-12-31,2026-03-31,24,50.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
12,2025-02-28,2025-07-09,35,20.00,10,0.53,0.8,0.42,,,,,
83,2025-08-31,2025-11-13,35,20.00,10,0.53,0.8,0.42,,,,,
88,2025-08-31,2025-11-13,24,2.00,10,0.53,0.8,0.42,,,,,
100,2025-06-30,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
47,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
87,2025-08-31,2025-11-13,24,2.00,10,0.53,0.8,0.42,,,,,
42,2025-04-30,2025-07-09,24,20.00,10,0.53,0.8,0.42,,,,,
84,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
89,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
85,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
43,2025-04-30,2025-07-09,24,3.00,10,0.53,0.8,0.42,,,,,
44,2025-04-30,2025-07-09,24,5.00,10,0.53,0.8,0.42,,,,,
92,2024-08-31,2024-12-17,24,2.00,10,0.53,0.8,0.42,,,,,
108,2025-08-31,2025-11-13,12,6.00,10,0.53,0.8,0.42,,,,,
86,2025-08-31,2025-11-13,24,3.00,10,0.53,0.8,0.42,,,,,
45,2025-04-30,2025-07-09,24,6.00,10,0.53,0.8,0.42,,,,,
46,2025-04-30,2025-07-09,24,6.00,10,0.53,0.8,0.42,,,,,
50,2025-04-30,2025-07-09,24,2.00,10,0.53,0.8,0.42,,,,,
118,2025-12-31,2026-03-31,24,10.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
61,2025-08-31,2025-11-13,24,13.00,10,0.53,0.8,0.42,,,,,
23,2025-04-30,2025-07-09,24,14.00,10,0.53,0.8,0.42,,,,,
105,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
122,2025-12-31,2026-03-31,24,12.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
25,2025-04-30,2025-07-09,24,33.00,10,0.53,0.8,0.42,,,,,
15,2025-04-30,2025-07-09,24,33.00,10,0.53,0.8,0.42,,,,,
102,2025-08-31,2025-11-13,24,12.00,10,0.53,0.8,0.42,,,,,
117,2025-12-31,2026-03-31,24,12.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
27,2025-04-30,2025-07-09,24,6.00,10,0.53,0.8,0.42,,,,,
67,2025-08-31,2025-11-13,24,12.00,10,0.53,0.8,0.42,,,,,
136,2025-12-31,2026-03-31,24,4.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
6,2024-06-30,2024-10-25,24,1.00,10,0.53,0.8,0.42,,,,,
51,2024-06-30,2024-10-25,12,1.00,10,0.53,0.8,0.42,,,,,
120,,,24,15.00,10,0.53,0.8,0.42,,,,,
26,2025-04-30,2025-07-09,24,8.00,10,0.53,0.8,0.42,,,,,
69,2025-08-31,2025-11-13,24,12.00,10,0.53,0.8,0.42,,,,,
119,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
143,2025-12-31,2026-03-31,24,31.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
68,2025-08-31,2025-11-13,24,20.00,10,0.53,0.8,0.42,,,,,
24,2025-04-30,2025-07-09,24,8.00,10,0.53,0.8,0.42,,,,,
72,2025-08-31,2025-11-13,24,13.00,10,0.53,0.8,0.42,,,,,
101,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
138,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
137,2025-12-31,2026-03-31,24,4.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
144,2025-12-31,2026-03-31,24,20.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
126,2025-12-31,2026-03-31,24,6.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
81,2025-08-31,2025-11-13,24,3.00,10,0.53,0.8,0.42,,,,,
18,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
128,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
62,2025-08-31,2025-11-13,24,11.00,10,0.53,0.8,0.42,,,,,
22,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
28,2025-04-30,2025-07-09,24,8.00,10,0.53,0.8,0.42,,,,,
65,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
131,2025-12-31,2026-03-31,24,10.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
29,2025-04-30,2025-07-09,24,6.00,10,0.53,0.8,0.42,,,,,
30,2025-04-30,2025-07-09,24,8.00,10,0.53,0.8,0.42,,,,,
132,2025-12-31,2026-03-31,24,10.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
91,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
31,2025-04-30,2025-07-09,24,10.00,10,0.53,0.8,0.42,,,,,
133,2025-12-31,2026-03-31,24,18.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
66,2025-08-31,2025-11-13,24,25.00,10,0.53,0.8,0.42,,,,,
32,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
33,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
35,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
104,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
34,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
36,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
37,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
82,2025-08-31,2025-11-13,24,6.00,10,0.53,0.8,0.42,,,,,
38,2025-04-30,2025-07-09,24,4.00,10,0.53,0.8,0.42,,,,,
39,2025-04-30,2025-07-09,24,2.00,10,0.53,0.8,0.42,,,,,
93,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
40,2025-04-30,2025-07-09,24,3.00,10,0.53,0.8,0.42,,,,,
73,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
134,2025-12-31,2026-03-31,24,10.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
90,2025-08-31,2025-11-13,24,2.00,10,0.53,0.8,0.42,,,,,
135,2025-12-31,2026-03-31,24,2.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
79,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
74,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
106,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
54,2024-12-31,2025-02-11,11,1.00,10,0.53,0.8,0.42,,,,,
53,2024-12-31,2025-02-11,24,1.00,10,0.53,0.8,0.42,,,,,
41,2025-04-30,2025-07-09,12,1.00,10,0.53,0.8,0.42,,,,,
80,2025-08-31,2025-11-13,24,11.00,10,0.53,0.8,0.42,,,,,
141,,,6,8.00,10,0.53,0.8,0.42,,,,,
112,2025-08-31,2025-11-13,12,2.00,10,0.53,0.8,0.42,,,,,
103,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
123,2025-12-31,2026-03-31,24,16.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
16,2025-04-30,2025-07-09,24,33.00,10,0.53,0.8,0.42,,,,,
125,,,24,0.00,10,0.53,0.8,0.42,,,,,
142,2025-08-31,2025-11-13,12,2.00,10,0.53,0.8,0.42,,,,,
55,2025-08-31,2025-11-13,24,7.00,10,0.53,0.8,0.42,,,,,
19,2025-04-30,2025-07-09,24,12.00,10,0.53,0.8,0.42,,,,,
124,,,24,2.00,10,0.53,0.8,0.42,,,,,
63,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
20,2025-04-30,2025-07-09,24,12.00,10,0.53,0.8,0.42,,,,,
127,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
21,2025-04-30,2025-07-09,24,11.00,10,0.53,0.8,0.42,,,,,
64,2025-08-31,2025-11-13,24,10.00,10,0.53,0.8,0.42,,,,,
129,2025-12-31,2026-03-31,24,7.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
70,2025-08-31,2025-11-13,24,4.00,10,0.53,0.8,0.42,,,,,
71,2025-08-31,2025-11-13,24,8.00,10,0.53,0.8,0.42,,,,,
130,2025-12-31,2026-03-31,24,8.00,10,0.53,0.8,0.42,60,10/02/2025,40,15/04/2025,
49,2025-04-30,2025-07-09,35,58.00,10,0.53,0.8,0.42,,,,,
48,2025-04-30,2025-07-09,24,6.00,10,0.53,0.8,0.42,,,,,